bus,Plant_type,Gen,isa_slack,Gov,Exc
40,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
42,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
46,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
49,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
54,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
55,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
56,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
59,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
61,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
62,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
65,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
66,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
69,plant_cb_v6,SM_2axis_cb_v6,true,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
70,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
72,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
73,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
74,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
76,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
77,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
80,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
85,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
87,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
89,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
90,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
91,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
92,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
99,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
100,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
103,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
104,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
105,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
107,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
110,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
111,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
112,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
113,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
116,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
