bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
190,475.0,0,300.0,-300.0,1.0551,100,1,575.0,0,0,0,0,0,0,0,0,0,0,0,0
191,1973.0,0,1000.0,-1000.0,1.0435,100,1,2073.0,0,0,0,0,0,0,0,0,0,0,0,0
198,424.0,0,260.0,-260.0,1.015,100,1,524.0,0,0,0,0,0,0,0,0,0,0,0,0
213,272.0,0,150.0,-150.0,1.01,100,1,372.0,0,0,0,0,0,0,0,0,0,0,0,0
220,100.0,0,60.0,-60.0,1.008,100,1,200.0,0,0,0,0,0,0,0,0,0,0,0,0
221,450.0,0,320.0,-320.0,1.0,100,1,550.0,0,0,0,0,0,0,0,0,0,0,0,0
222,250.0,0,300.0,-300.0,1.05,100,1,350.0,0,0,0,0,0,0,0,0,0,0,0,0
227,303.0,0,300.0,-300.0,1.0,100,1,403.0,0,0,0,0,0,0,0,0,0,0,0,0
230,345.0,0,250.0,-250.0,1.04,100,1,445.0,0,0,0,0,0,0,0,0,0,0,0,0
233,300.0,0,500.0,-500.0,1.0,100,1,400.0,0,0,0,0,0,0,0,0,0,0,0,0
236,600.0,0,300.0,-300.0,1.0165,100,1,700.0,0,0,0,0,0,0,0,0,0,0,0,0
238,250.0,0,200.0,-200.0,1.01,100,1,350.0,0,0,0,0,0,0,0,0,0,0,0,0
239,550.0,0,400.0,-400.0,1.0,100,1,650.0,0,0,0,0,0,0,0,0,0,0,0,0
241,575.43,0,600.0,-600.0,1.05,100,1,675.43,0,0,0,0,0,0,0,0,0,0,0,0
242,170.0,0,100.0,40.0,0.993,100,1,270.0,0,0,0,0,0,0,0,0,0,0,0,0
243,84.0,0,80.0,40.0,1.01,100,1,184.0,0,0,0,0,0,0,0,0,0,0,0,0
7001,467.0,0,210.0,-210.0,1.0507,100,1,567.0,0,0,0,0,0,0,0,0,0,0,0,0
7002,623.0,0,280.0,-280.0,1.0507,100,1,723.0,0,0,0,0,0,0,0,0,0,0,0,0
7003,1210.0,0,420.0,-420.0,1.0323,100,1,1310.0,0,0,0,0,0,0,0,0,0,0,0,0
7011,234.0,0,100.0,-100.0,1.0145,100,1,334.0,0,0,0,0,0,0,0,0,0,0,0,0
7012,372.0,0,224.0,-224.0,1.0507,100,1,472.0,0,0,0,0,0,0,0,0,0,0,0,0
7017,330.0,0,350.0,0.0,1.0507,100,1,430.0,0,0,0,0,0,0,0,0,0,0,0,0
7023,185.0,0,120.0,0.0,1.0507,100,1,285.0,0,0,0,0,0,0,0,0,0,0,0,0
7024,410.0,0,224.0,-224.0,1.029,100,1,510.0,0,0,0,0,0,0,0,0,0,0,0,0
7039,500.0,0,200.0,-200.0,1.05,100,1,600.0,0,0,0,0,0,0,0,0,0,0,0,0
7044,37.0,0,42.0,0.0,1.0145,100,1,137.0,0,0,0,0,0,0,0,0,0,0,0,0
7049,0.0,0,10.0,0.0,1.0507,100,1,2399.005,0,0,0,0,0,0,0,0,0,0,0,0
7055,45.0,0,25.0,0.0,0.9967,100,1,145.0,0,0,0,0,0,0,0,0,0,0,0,0
7057,165.0,0,90.0,-90.0,1.0212,100,1,265.0,0,0,0,0,0,0,0,0,0,0,0,0
7061,400.0,0,150.0,-150.0,1.0145,100,1,500.0,0,0,0,0,0,0,0,0,0,0,0,0
7062,400.0,0,150.0,0.0,1.0017,100,1,500.0,0,0,0,0,0,0,0,0,0,0,0,0
7071,116.0,0,87.0,0.0,0.9893,100,1,216.0,0,0,0,0,0,0,0,0,0,0,0,0
7130,1292.0,0,600.0,-100.0,1.0507,100,1,1392.0,0,0,0,0,0,0,0,0,0,0,0,0
7139,700.0,0,325.0,-125.0,1.0507,100,1,800.0,0,0,0,0,0,0,0,0,0,0,0,0
7166,553.0,0,300.0,-200.0,1.0145,100,1,653.0,0,0,0,0,0,0,0,0,0,0,0,0
9002,0.0,0,2.0,-2.0,0.9945,100,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
9051,0.0,0,17.35,-17.35,1.0,100,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
9053,0.0,0,12.83,-12.8,1.0,100,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
9054,50.0,0,38.0,-38.0,1.0,100,1,150.0,0,0,0,0,0,0,0,0,0,0,0,0
9055,8.0,0,6.0,-6.0,1.0,100,1,108.0,0,0,0,0,0,0,0,0,0,0,0,0
